commit_hash,date,device,test_name,status,metric,unit,min_time,max_time,avg_time,median_time,run_count,attempted,all_runs
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_collectibles_response_time,passed,response_time,s,0.071,0.091,0.084,0.087,4,4,"0.091,0.086,0.088,0.071"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_history_response_time,passed,response_time,s,0.085,0.105,0.094,0.092,4,4,"0.093,0.092,0.105,0.085"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_account_open_response_time,passed,response_time,s,0.085,0.085,0.085,0.085,1,1,0.085
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_add_account_response_time,passed,response_time,s,0.591,0.648,0.625,0.631,4,4,"0.647,0.591,0.614,0.648"
c32b3c,2026-06-23T12:00:00,SM-A366B,test_android_wallet_assets_response_time,passed,response_time,s,0.634,1.126,0.77,0.661,4,4,"0.634,1.126,0.642,0.679"
c32b3c,2026-06-23T12:00:00,SM-A366B,test_android_messages_response_time,passed,response_time,s,0.078,0.095,0.085,0.083,4,4,"0.095,0.084,0.078,0.081"
c32b3c,2026-06-23T12:00:00,SM-A366B,test_android_wallet_collectibles_response_time,passed,response_time,s,0.087,0.106,0.097,0.097,4,4,"0.097,0.097,0.087,0.106"
c32b3c,2026-06-23T12:00:00,SM-A366B,test_android_market_response_time,passed,response_time,s,0.637,1.176,0.899,0.892,4,4,"0.637,1.176,1.133,0.651"
c32b3c,2026-06-23T12:00:00,SM-A366B,test_android_settings_response_time,passed,response_time,s,0.587,0.657,0.623,0.625,4,4,"0.657,0.626,0.587,0.623"
c32b3c,2026-06-23T12:00:00,SM-A366B,test_android_communities_response_time,passed,response_time,s,1.156,1.82,1.607,1.727,4,4,"1.717,1.82,1.737,1.156"
c32b3c,2026-06-23T12:00:00,SM-A366B,test_android_wallet_response_time,passed,response_time,s,1.172,1.253,1.206,1.199,4,4,"1.253,1.172,1.182,1.216"
c32b3c,2026-06-23T12:00:00,SM-A366B,test_android_wallet_history_response_time,passed,response_time,s,0.087,0.164,0.111,0.096,4,4,"0.164,0.089,0.103,0.087"
f016ed,2026-06-24T12:00:00,SM-A366B,test_android_wallet_response_time,passed,response_time,s,1.172,1.277,1.221,1.217,4,4,"1.277,1.234,1.172,1.2"
f016ed,2026-06-24T12:00:00,SM-A366B,test_android_wallet_collectibles_response_time,passed,response_time,s,0.094,0.106,0.1,0.1,4,4,"0.106,0.104,0.094,0.096"
f016ed,2026-06-24T12:00:00,SM-A366B,test_android_market_response_time,passed,response_time,s,0.637,1.164,0.898,0.895,4,4,"0.637,1.164,1.149,0.642"
f016ed,2026-06-24T12:00:00,SM-A366B,test_android_messages_response_time,passed,response_time,s,0.082,0.585,0.213,0.092,4,4,"0.087,0.082,0.097,0.585"
f016ed,2026-06-24T12:00:00,SM-A366B,test_android_settings_response_time,passed,response_time,s,0.591,0.645,0.613,0.607,4,4,"0.645,0.591,0.597,0.618"
f016ed,2026-06-24T12:00:00,SM-A366B,test_android_wallet_assets_response_time,passed,response_time,s,0.65,0.69,0.671,0.673,4,4,"0.676,0.669,0.69,0.65"
f016ed,2026-06-24T12:00:00,SM-A366B,test_android_wallet_history_response_time,passed,response_time,s,0.086,0.102,0.095,0.097,4,4,"0.099,0.094,0.102,0.086"
f016ed,2026-06-24T12:00:00,SM-A366B,test_android_communities_response_time,passed,response_time,s,1.9,2.438,2.059,1.949,4,4,"1.995,1.902,2.438,1.9"
